Organization Name,Date you began work,Type,Status,City,Major,College,Degree,Major2,Date work ends,State,Zip+4,New Job Title
NYC Department of Health and Mental Hygiene (DOH),3/9/2020,Public Health,Working,Queens,Biological Sciences,City College,BS,Biomed Science ,,New York,11428,Hepatitis Clinical Practice Facilitation Program Assistant
CUNY 311 Project,6/18/2018,Customer Service,Working,Manhattan,Finance,Brooklyn College,BBA,Finance ,,New York,12508,Student Call Taker
NYC DoITT,7/9/2018,Business Analysis,Working,Queens,Computer Information Systems/Science,Lehman College,MS,Information Systems,,New York,11418,Business Intelligence
NYC Department of Citywide Administrative Services (DCAS),7/22/2019,Data/Digital Services,Working,Queens,Computer Science,Queens College,BA,Computer Science ,,New York,11368,DCAS - Office of Citywide Procurement
NYC Human Resources Administration (HRA),1/1/2020,Data/Digital Services,Working,Manhattan,Finance,Baruch College,BBA,Economics ,,New York,10010,HRA Fellow
NYC Department of Education (DOE),9/3/2019,Client Service/Tech Support,Working,Queens,Computer Science,Queens College,BA,Computer Science ,,New York,11377-2753,Tech Support Intern
CUNY 311 Project,1/6/2020,Customer Service,Employed,Queens,Nutrition,York College,BS,Health Science ,,New York,11419,Student Call Taker
NYC Department of Education (DOE),1/14/2020,Client Service/Tech Support,Working,Queens,Computer Systems Technology,New York City College of Technology,BTECH,Computer Systems ,,New York,11355,Tech Support Intern
NYC Department of Education (DOE),2/27/2020,Client Service/Tech Support,Working,Brooklyn,"Computer Information Systems/Science, Computer Systems Technology",New York City College of Technology,BTECH,Computer Systems ,,New York,11207,Tech Support Intern
NYC Department of Transportation (DOT),7/22/2019,Finance/Procurement ,Working,Manhattan,Economics,Hunter College,BAMA,Economics ,,New York,10031,DOT - Grants and Fiscal Management/Sandy Emergency Relief
NYC Department of Education (DOE),2/27/2020,Client Service/Tech Support,Working,Queens,Computer Science,Queens College,BS,Computer Science ,,New York,11374,Tech Support Intern
NYC Department of Education (DOE),9/3/2019,Client Service/Tech Support,Working,Other New York,Computer Engineering Technology,New York City College of Technology,BTECH,Computer Engineer Tech ,,New York,11364,Tech Support Intern
NYC Department of Education (DOE),9/17/2019,Client Service/Tech Support,Working,Manhattan,Computer Systems Technology,New York City College of Technology,BTECH,Computer Systems ,,New York,10039,Tech Support Intern
NYC Department of Education (DOE),8/26/2019,Client Service/Tech Support,Working,Staten Island,Computer Science,College of Staten Island,BS,Computer Science ,,New York,10312,Tech Support Intern
NYC Department of Education (DOE),8/26/2019,Client Service/Tech Support,Working,Manhattan,Computer Systems Technology,New York City College of Technology,BTECH,Computer Systems ,,New York,11218,Tech Support Intern
NYC Department of Education (DOE),8/26/2019,Client Service/Tech Support,Working,Brooklyn,Electrical,New York City College of Technology,BTECH,Computer Engineer Tech ,,New York,11210,Tech Support Intern
NYC Department of Education (DOE),2/27/2020,Client Service/Tech Support,Employed,Brooklyn,Computer Science,Hunter College,BA,Computer Science ,,New York,11238,Tech Support Intern
NYC Department of Citywide Administrative Services (DCAS),7/22/2019,Finance/Procurement ,Working,Brooklyn,Accounting,Queens College,BA,Accounting ,,New York,11214,DCAS - Office of Citywide Procurement
NYC Department of Education (DOE),9/11/2019,Client Service/Tech Support,Working,Queens,Computer Information Systems/Science,Guttman Community College,AAS,Information Technology ,,New York,11373,Tech Support Intern
NYC Department of Education (DOE),12/2/2019,Client Service/Tech Support,Working,Bronx,Computer Science,Borough of Manhattan Community College,BS,Computer Sci and Info Sec ,,New York,10469,DOE Tech Intern
NYC Department of Education (DOE),8/13/2018,Client Service/Tech Support,Working,Bronx,Computer Engineering Technology,New York City College of Technology,BTECH,Computer Engineer Tech ,,New York,10471,IT Tech Support
NYC Department of Education (DOE),8/26/2019,Client Service/Tech Support,Working,Queens,Computer Systems Technology,New York City College of Technology,BTECH,Computer Systems ,,New York,11104,Tech Support Intern
NYC Human Resources Administration (HRA),1/14/2019,Client Service/Tech Support,Working,Brooklyn,"Computer Science, Mathematics",Brooklyn College,BS,Computational Mathematics ,,New York,11214,Helpdesk / Desktop support
NYC Human Resources Administration (HRA),4/4/2019,Client Service/Tech Support,Working,NA,Computer Engineering,City College,BE,Computer Engr ,,,,IT Intern
NYC Department of Education (DOE),8/26/2019,Client Service/Tech Support,Working,Queens,Computer Science,Queens College,BA,Film Studies ,,New York,11421,Tech Support Intern
NYC Department of Education (DOE),8/26/2019,Client Service/Tech Support,Working,Brooklyn,Computer Systems Technology,New York City College of Technology,BTECH,Computer Systems ,,New York,11229,Tech Support Intern
Civil Service Pathways Fellowship ,7/22/2019,Policy/Program Analysis,Working,Bronx,Management,John Jay College of Criminal Justice,MPA,Public Admin,,New York,10451,DDC - Office of Communications and Policy
NYC Department of Education (DOE),2/10/2020,Client Service/Tech Support,Employed,Brooklyn,Computer Systems Technology,New York City College of Technology,BTECH,Computer Systems ,,New York,11206,Tech Support Intern
NYC Department of Education (DOE),9/25/2019,Client Service/Tech Support,Working,Brooklyn,Computer Science,Brooklyn College,BS,Computer Science ,,New York,11218,Tech Support Intern
NYC Department of Education (DOE),9/3/2019,Client Service/Tech Support,Working,Brooklyn,Computer Information Systems/Science,Baruch College,BBA,Computer Information Sys ,,New York,11206,Tech Support Intern
NYC Taxi and Limousine Commission (TLC),1/16/2018,Business Analysis,Working,Queens,Computer Information Systems/Science,CUNY School of Professional Studies,BS,Information Systems ,,New York,11385,Analytics Intern
NYC Human Resources Administration (HRA),9/1/2019,Client Service/Tech Support,Working,Bronx,Computer Science,Bronx Community College,AS,Mathematics ,,New York,10452,Tech Intern
NYC Department of Education (DOE),5/27/2019,Client Service/Tech Support,Employed,NA,Computer Information Systems/Science,College of Staten Island,BS,Info Systems & Informatics ,,,,Tech Support Intern
NYC Department of Education (DOE),1/13/2020,Client Service/Tech Support,Working,Brooklyn,Computer Information Systems/Science,New York City College of Technology,BTECH,Computer Systems ,,New York,11210,Tech Support Intern
NYC Department of Education (DOE),12/4/2019,Client Service/Tech Support,Working,Brooklyn,"Management, Philospohy",Brooklyn College,BA,Philosophy ,,New York,11214,DOE Tech Intern
NYC Department of Education (DOE),9/25/2019,Client Service/Tech Support,Working,Brooklyn,Computer Information Systems/Science,Brooklyn College,BS,Information Systems ,,New York,11230,Tech Support Intern
NYC Human Resources Administration (HRA),8/29/2019,Client Service/Tech Support,Working,Brooklyn,"Computer Information Systems/Science, Computer Science",Brooklyn College,BS,Computer Science ,,New York,11204,Legacy Systems Support
NYC Human Resources Administration (HRA),8/29/2019,Client Service/Tech Support,Working,Brooklyn,"Computer Information Systems/Science, Computer Science",Brooklyn College,AAS,Computer Information Sys ,,New York,11204,Legacy Systems Support
NYC Department of Education (DOE),8/26/2019,Client Service/Tech Support,Working,Brooklyn,Computer Information Systems/Science,Borough of Manhattan Community College,AAS,Computer Information Sys ,,New York,11236,Tech Support Intern
NYC Human Resources Administration (HRA),2/28/2017,Network Administration,Working,Manhattan,Computer Systems Technology,New York City College of Technology,AS,Business Management ,,New York,,Networking/Infrastructure/Security
NYC Human Resources Administration (HRA),1/14/2019,Database Admin,Working,Queens,Computer Science,Queensborough Community College,BA,Computer Science ,,New York,11433,IT Asset Management Analyst
CUNY 311 Project,1/6/2020,Customer Service,Working,Brooklyn,Criminal Justice,John Jay College of Criminal Justice,BS,Criminal Justice ,,New York,11207,Student Call Taker
NYC Department of Education (DOE),9/25/2019,Client Service/Tech Support,Working,Bronx,Computer Science,City College,BS,Computer Science ,,New York,10458,Tech Support Intern
NYC Department of Education (DOE),8/26/2019,Client Service/Tech Support,Working,Queens,Computer Systems Technology,New York City College of Technology,BTECH,Computer Systems ,,New York,11368,Tech Support Intern
NYC Department of Correction (DOC),9/24/2019,,Working,Manhattan,Criminal Justice,John Jay College of Criminal Justice,BA,Criminology ,,New York,11230,
NYC Human Resources Administration (HRA),2/4/2019,Client Service/Tech Support,Working,NA,Computer Information Systems/Science,Lehman College,BS,Computer Information Sys ,,,,APS Helpdesk Intern
NYC Department of Education (DOE),9/3/2019,Client Service/Tech Support,Working,Manhattan,Computer Systems Technology,New York City College of Technology,BTECH,Computer Systems ,,New York,10023,Tech Support Intern
NYC Human Resources Administration (HRA),9/25/2017,Client Service/Tech Support,Working,Brooklyn,"Criminal Justice, Public Policy, Paralegal Studies ",John Jay College of Criminal Justice,MPA,Public Admin Insp and Ovs,,New York,11236,Fair Hearing Administrative Assistant
NYC Department of Education (DOE),2/25/2020,Client Service/Tech Support,Employed,Brooklyn,Computer Science,Hunter College,BA,Computer Science ,,New York,11236,Tech Support Intern
NYC Human Resources Administration (HRA),1/27/2020,Client Service/Tech Support,Employed,Brooklyn,Computer Information Systems/Science,New York City College of Technology,BTECH,Computer Systems ,,New York,11207,IT Server Support Specialist 
NYC DoITT,7/9/2018,Systems Analysis and Design,Working,Brooklyn,Computer Science,Brooklyn College,BS,Computer Science ,,New York,11214,IT Architecture
NYC Department of Education (DOE),9/24/2019,Client Service/Tech Support,Working,Brooklyn,Computer Information Systems/Science,New York City College of Technology,BTECH,Computer Systems ,,New York,11212,Tech Support Intern
Civil Service Pathways Fellowship ,1/22/2019,Finance/Procurement ,Working,Brooklyn,Management,Brooklyn College,MPA,Public Admin,,New York,11212,DCAS - Office of Citywide Procurement 
NYC Employees Retirement System (NYCERS),2/24/2020,Administrative,Employed,Brooklyn,Economics,Brooklyn College,BBA,Business Administration ,,New York,11208-2131,Clerical Associate
NYC Department of Education (DOE),9/24/2019,Client Service/Tech Support,Working,Bronx,"Computer Information Systems/Science, Computer Systems Technology",New York City College of Technology,BTECH,Computer Systems ,,New York,10468,Tech Support Intern
NYC Human Resources Administration (HRA),3/18/2019,Client Service/Tech Support,Working,Bronx,"Chemistry, Computer Science",Hunter College,BA,Undeclared ,,New York,10465,Helpdesk / Desktop support
NYC Department of Education (DOE),11/21/2019,Business Analysis,Working,NA,Liberal Studies,New York City College of Technology,AA,Liberal Arts and Sciences ,,,,Business Analyst Intern
NYC Administration for Children's Services (ACS),7/2/2018,,Working,NA,Library Sciences/Information Science,Baruch College,MS,Quant Methods/Modeling,,,,IT Services Desk Intern
NYC Department of Education (DOE),8/26/2019,Client Service/Tech Support,Working,Bronx,Computer Information Systems/Science,Borough of Manhattan Community College,BBA,Marketing Management ,,New York,10453,Tech Support Intern
NYC Department of Education (DOE),9/3/2019,Client Service/Tech Support,Working,Brooklyn,Computer Systems Technology,New York City College of Technology,BTECH,Computer Systems ,,New York,11226,Tech Support Intern
NYC Department of Education (DOE),10/14/2019,Client Service/Tech Support,Working,Manhattan,Computer Systems Technology,New York City College of Technology,BTECH,Computer Systems ,,New York,10002,Tech Support Intern
NYC Department of Education (DOE),8/26/2019,Client Service/Tech Support,Working,Queens,"Computer Science, Computer Systems Technology",New York City College of Technology,BTECH,Computer Systems ,,New York,11420,Tech Support Intern
NYC Department of Education (DOE),6/7/2019,Client Service/Tech Support,Employed,NA,Computer Information Systems/Science,New York City College of Technology,BTECH,Computer Systems ,,,,Field Tech Intern
NYC Department of Citywide Administrative Services (DCAS),10/22/2018,,Working,Queens,Computer Information Systems/Science,Brooklyn College,MS,Information Systems,,New York,11355,
CUNY 311 Project,1/8/2018,Customer Service,Working,Brooklyn,Nutrition,Brooklyn College,BS,Health and Nutrition Sci ,,New York,11223,Student Call Taker
NYC Department of Education (DOE),2/25/2020,Client Service/Tech Support,Working,Bronx,Computer Information Systems/Science,Lehman College,BS,Computer Information Sys ,,New York,10468,Tech Support Intern
CUNY 311 Project,8/5/2019,Customer Service,Working,Queens,Economics,Hunter College,BAMA,Economics ,,New York,11355,Student Call Taker
NYC Department of Education (DOE),1/20/2020,Client Service/Tech Support,Employed,Brooklyn,Computer Systems Technology,New York City College of Technology,BTECH,Computer Systems ,,New York,11210,Tech Support Intern
NYC Department of Education (DOE),8/26/2019,Client Service/Tech Support,Working,Staten Island,Computer Information Systems/Science,College of Staten Island,BS,Info Systems & Informatics ,,New York,10314,Tech Support Intern
Civil Service Pathways Fellowship ,7/22/2019,Finance/Procurement ,Working,Queens,"Economics, Public Policy",Baruch College,MPA,Public Administration,,New York,11103,HPD - Budget
NYC Human Resources Administration (HRA),9/5/2016,Client Service/Tech Support,Working,Queens,Computer Information Systems/Science,New York City College of Technology,BTECH,Computer Systems ,,New York,11436,Application Help Desk Specialist
Civil Service Pathways Fellowship ,7/22/2019,Data/Digital Services,Working,Brooklyn,Computer Information Systems/Science,CUNY School of Professional Studies,MS,Data Science,,New York,11223,FISA - Financial Systems
NYC Department of Education (DOE),9/4/2019,Client Service/Tech Support,Working,Manhattan,Computer Science,York College,BS,Computer Science ,,New York,10029,Tech Support Intern
NYC Department of Education (DOE),9/11/2019,Client Service/Tech Support,Working,Bronx,Computer Systems Technology,New York City College of Technology,BTECH,Computer Systems ,,New York,10473,Tech Support Intern
NYC Department of Education (DOE),8/26/2019,Client Service/Tech Support,Working,Queens,Computer Systems Technology,New York City College of Technology,BTECH,Computer Systems ,,,11434,Tech Support Intern
NYC Department of Education (DOE),8/26/2019,Client Service/Tech Support,Working,Brooklyn,Computer Systems Technology,New York City College of Technology,BTECH,Computer Systems ,,New York,11220,Tech Support Intern
NYC Department of Education (DOE),2/25/2020,Client Service/Tech Support,Working,Bronx,Computer Systems Technology,New York City College of Technology,BTECH,Computer Systems ,,New York,10451,Tech Support Intern
NYC Department of Education (DOE),8/26/2019,Client Service/Tech Support,Working,NA,Computer Science,Medgar Evers College,BS,Computer Science ,,,,Tech Support Intern
NYC Department of Education (DOE),7/1/2019,Client Service/Tech Support,Working,Brooklyn,Computer Information Systems/Science,New York City College of Technology,BTECH,Computer Systems ,,New York,11213,Tech Support Intern
NYC Department of Education (DOE),10/22/2019,Client Service/Tech Support,Working,Queens,"Computer Information Systems/Science, Computer Systems Technology",Baruch College,BBA,Computer Information Sys ,,New York,11385,Assistive Technology Intern
NYC Taxi and Limousine Commission (TLC),2/10/2020,Database Admin,Working,Bronx,Political Science,Lehman College,BA,Political Science ,,New York,10458,case examiner intern
CUNY 311 Project,6/29/2015,Customer Service,Working,Queens,Nursing,New York City College of Technology,BS,Nursing ,,New York,11419,Student Call Taker
Civil Service Pathways Fellowship ,1/22/2019,Policy/Program Analysis,Working,Queens,"Art, Finance",City College,MS,Data Analysis/Visualization,,New York,11418,DOHMH - Administration/Human Resources and Labor Relations
NYC Department of Education (DOE),2/25/2020,Client Service/Tech Support,Employed,Queens,"Film, Computer Information Systems/Science",Brooklyn College,BA,Film ,,New York,11422,Tech Support Intern
NYC Department of Education (DOE),7/8/2019,Client Service/Tech Support,Working,Brooklyn,Computer Engineering Technology,New York City College of Technology,BTECH,Computer Engineer Tech ,,New York,11226,Tech Support Intern
NYC Department of Education (DOE),1/14/2020,Client Service/Tech Support,Employed,Bronx,Computer Science,City College,BS,Computer Science ,,New York,10454,Tech Support Intern
NYC DoITT,7/15/2019,Application Development,Working,Queens,"Computer Information Systems/Science, Computer Systems Technology",Guttman Community College,BTECH,Computer Systems ,,New York,11421,CSM Developer
DEP,10/22/2019,Data/Digital Services,Working,Staten Island,Computer Science,Macaulay Honors College,BS,MHC Computer Science ,,New York,10302,Data Science/Web Developer Intern
NYC DoITT,7/9/2018,Finance/Procurement ,Working,Manhattan,Mathematics,Hunter College,BAMA,Stat/Stat & Applied Math ,,New York,10033,Financial Analystics Intern
CUNY 311 Project,1/6/2020,Customer Service,Working,Brooklyn,Political Science,City College,BA,Internat Studies ,,New York,11223,Student Call Taker
NYC Department of Small Business Services (SBS),11/18/2019,Client Service/Tech Support,Working,Brooklyn,Computer Systems Technology,New York City College of Technology,BTECH,Computer Systems ,,New York,11228,Support Desk Intern
Civil Service Pathways Fellowship ,1/22/2019,Finance/Procurement ,Working,Brooklyn,Accounting,Brooklyn College,MA,Urban Studies ,,New York,11219,DCAS - Office of Citywide Procurement 
NYC Department of Education (DOE),9/3/2019,Client Service/Tech Support,Working,Brooklyn,Computer Information Systems/Science,Medgar Evers College,BS,Computer Information Sys ,,New York,11233,Tech Support Intern
NYC Department of Education (DOE),11/14/2019,Client Service/Tech Support,Working,Brooklyn,Computer Systems Technology,New York City College of Technology,BTECH,Computer Systems ,,New York,11230,DOE Tech Intern
NYC Department of Education (DOE),8/26/2019,Client Service/Tech Support,Working,Brooklyn,"Computer Information Systems/Science, Computer Science",John Jay College of Criminal Justice,BS,Computer Sci and Info Sec ,,New York,11208,Tech Support Intern
NYC Department of Education (DOE),10/2/2019,Client Service/Tech Support,Working,Bronx,Computer Engineering Technology,New York City College of Technology,BTECH,Computer Engineer Tech ,,New York,10467,DOE Tech Intern
NYC Department of Education (DOE),9/24/2019,Client Service/Tech Support,Working,Bronx,Computer Information Systems/Science,Bronx Community College,AAS,Computer Info Systems ,,New York,10456,Tech Support Intern
NYC Department of Education (DOE),1/2/2017,Network Administration,Working,Brooklyn,"Computer Science, Mathematics",Brooklyn College,BS,Computer Science ,,New York,11207,Networking/Infrastructure/Security
NYC Department of Education (DOE),3/2/2020,Client Service/Tech Support,Employed,Brooklyn,Economics,Hunter College,BA,Economics ,,New York,11218,Tech Support Intern
NYC Department of Education (DOE),2/25/2020,Client Service/Tech Support,Working,Brooklyn,Communications,New York City College of Technology,BFA,Communication Design,,New York,11206,Tech Support Intern
Civil Service Pathways Fellowship ,7/22/2019,Finance/Procurement ,Working,Brooklyn,Accounting,Brooklyn College,BS,Accounting ,,New York,11235,FDNY - Revenue Management
NYC Department of Education (DOE),9/3/2019,Client Service/Tech Support,Working,Queens,Computer Engineering Technology,New York City College of Technology,BTECH,Computer Engineer Tech ,,New York,11355,Tech Support Intern
NYC Department of Education (DOE),9/3/2019,Client Service/Tech Support,Working,Brooklyn,"Electrical, Mechanical",New York City College of Technology,BBA,Computer Information Sys ,,New York,1121,Tech Support Intern
NYC Department of Education (DOE),8/26/2019,Client Service/Tech Support,Working,Brooklyn,Computer Information Systems/Science,New York City College of Technology,BBA,Computer Information Sys ,,New York,11209,Tech Support Intern
NYC Department of Education (DOE),9/24/2018,Client Service/Tech Support,Working,Manhattan,Computer Engineering Technology,New York City College of Technology,BTECH,Computer Engineer Tech ,,New York,10002,Office of School Health Technology Intern
Civil Service Pathways Fellowship ,7/22/2019,Data/Digital Services,Working,Bronx,"Computer Information Systems/Science, Computer Science, Computer Systems Technology",Lehman College,BS,Computer Information Sys ,,New York,10472,HPD - Division of Tenant Resources
NYC Department of Education (DOE),9/24/2019,Client Service/Tech Support,Working,Queens,Computer Science,Borough of Manhattan Community College,AS,Computer Science ,,New York,11435,Tech Support Intern
